Adversário,Local,Gols Pró,Gols Contra,Torneio,Resultado,Data do Jogo,Avaliação,Técnico,Pontos
Fluminense,Fora,1,3,Serie A,Derrota,5/11/2022,,Rogério Ceni,0
Atletico-MG,Casa,2,2,Serie A,Empate,2/11/2022,,Rogério Ceni,1
Atletico Goianiense,Casa,2,1,Serie A,Vitória,27/10/2022,,Rogério Ceni,3
Juventude,Fora,2,1,Serie A,Vitória,23/10/2022,,Rogério Ceni,3
Coritiba,Casa,3,1,Serie A,Vitória,20/10/2022,,Rogério Ceni,3
Palmeiras,Fora,0,0,Serie A,Empate,16/10/2022,,Rogério Ceni,1
Botafogo,Casa,0,1,Serie A,Derrota,9/10/2022,,Rogério Ceni,0
America Mineiro,Fora,2,1,Serie A,Vitória,6/10/2022,,Rogério Ceni,3
Independiente del Valle,Casa,0,2,CONMEBOL Sudamericana,Derrota,1/10/2022,,Rogério Ceni,0
Avai,Casa,4,0,Serie A,Vitória,25/9/2022,,Rogério Ceni,3
Ceara,Fora,2,0,Serie A,Vitória,18/9/2022,,Rogério Ceni,3
Flamengo,Fora,0,1,Copa Do Brasil,Derrota,15/9/2022,,Rogério Ceni,0
Corinthians,Casa,1,1,Serie A,Empate,11/9/2022,,Rogério Ceni,1
Atletico Goianiense,Casa,2,0,CONMEBOL Sudamericana,Vitória,9/9/2022,,Rogério Ceni,3
Cuiaba,Fora,1,1,Serie A,Empate,4/9/2022,,Rogério Ceni,1
Atletico Goianiense,Fora,1,3,CONMEBOL Sudamericana,Derrota,2/9/2022,,Rogério Ceni,0
Fortaleza EC,Casa,0,1,Serie A,Derrota,28/8/2022,,Rogério Ceni,0
Flamengo,Casa,1,3,Copa Do Brasil,Derrota,25/8/2022,,Rogério Ceni,0
Santos,Fora,0,1,Serie A,Derrota,21/8/2022,,Rogério Ceni,0
America Mineiro,Fora,2,2,Copa Do Brasil,Empate,19/8/2022,,Rogério Ceni,1
RB Bragantino,Casa,3,0,Serie A,Vitória,14/8/2022,,Rogério Ceni,3
Ceara,Fora,1,2,CONMEBOL Sudamericana,Derrota,10/8/2022,,Rogério Ceni,0
Flamengo,Casa,0,2,Serie A,Derrota,6/8/2022,,Rogério Ceni,0
Ceara,Casa,1,0,CONMEBOL Sudamericana,Vitória,3/8/2022,,Rogério Ceni,3
Atletico Paranaense,Fora,0,1,Serie A,Derrota,31/7/2022,,Rogério Ceni,0
America Mineiro,Casa,1,0,Copa Do Brasil,Vitória,28/7/2022,,Rogério Ceni,3
Goias,Casa,3,3,Serie A,Empate,23/7/2022,,Rogério Ceni,1
Internacional,Fora,3,3,Serie A,Empate,20/7/2022,,Rogério Ceni,1
Fluminense,Casa,2,2,Serie A,Empate,17/7/2022,,Rogério Ceni,1
Palmeiras,Fora,1,2,Copa Do Brasil,Derrota,14/7/2022,,Rogério Ceni,0
Atletico-MG,Fora,0,0,Serie A,Empate,10/7/2022,,Rogério Ceni,1
U. Catolica,Casa,4,1,CONMEBOL Sudamericana,Vitória,8/7/2022,,Rogério Ceni,3
Atletico Goianiense,Fora,2,1,Serie A,Vitória,3/7/2022,,Rogério Ceni,3
U. Catolica,Fora,4,2,CONMEBOL Sudamericana,Vitória,1/7/2022,,Rogério Ceni,3
Juventude,Casa,0,0,Serie A,Empate,26/6/2022,,Rogério Ceni,1
Palmeiras,Casa,1,0,Copa Do Brasil,Vitória,23/6/2022,,Rogério Ceni,3
Palmeiras,Casa,1,2,Serie A,Derrota,20/6/2022,,Rogério Ceni,0
Botafogo,Fora,0,1,Serie A,Derrota,16/6/2022,,Rogério Ceni,0
America Mineiro,Casa,1,0,Serie A,Vitória,12/6/2022,,Rogério Ceni,3
Coritiba,Fora,1,1,Serie A,Empate,9/6/2022,,Rogério Ceni,1
Avai,Fora,1,1,Serie A,Empate,4/6/2022,,Rogério Ceni,1
Ceara,Casa,2,2,Serie A,Empate,28/5/2022,,Rogério Ceni,1
Ayacucho FC,Casa,1,0,CONMEBOL Sudamericana,Vitória,25/5/2022,,Rogério Ceni,3
Corinthians,Fora,1,1,Serie A,Empate,22/5/2022,,Rogério Ceni,1
Jorge Wilstermann,Casa,3,0,CONMEBOL Sudamericana,Vitória,20/5/2022,,Rogério Ceni,3
Cuiaba,Casa,2,1,Serie A,Vitória,15/5/2022,,Rogério Ceni,3
Juventude,Casa,2,0,Copa Do Brasil,Vitória,12/5/2022,,Rogério Ceni,3
Fortaleza EC,Fora,1,1,Serie A,Empate,8/5/2022,,Rogério Ceni,1
Everton de Vina,Fora,0,0,CONMEBOL Sudamericana,Empate,5/5/2022,,Rogério Ceni,1
Santos,Casa,2,1,Serie A,Vitória,2/5/2022,,Rogério Ceni,3
Jorge Wilstermann,Fora,3,1,CONMEBOL Sudamericana,Vitória,28/4/2022,,Rogério Ceni,3
RB Bragantino,Fora,1,1,Serie A,Empate,23/4/2022,,Rogério Ceni,1
Juventude,Fora,2,2,Copa Do Brasil,Empate,20/4/2022,,Rogério Ceni,1
Flamengo,Fora,1,3,Serie A,Derrota,17/4/2022,,Rogério Ceni,0
Everton de Vina,Casa,2,0,CONMEBOL Sudamericana,Vitória,14/4/2022,,Rogério Ceni,3
Atletico Paranaense,Casa,4,0,Serie A,Vitória,10/4/2022,,Rogério Ceni,3
Ayacucho FC,Fora,3,2,CONMEBOL Sudamericana,Vitória,8/4/2022,,Rogério Ceni,3
Palmeiras,Fora,0,4,Paulista - A1,Derrota,3/4/2022,,Rogério Ceni,0
Palmeiras,Casa,3,1,Paulista - A1,Vitória,31/3/2022,,Rogério Ceni,3
Corinthians,Casa,2,1,Paulista - A1,Vitória,27/3/2022,,Rogério Ceni,3
São Bernardo,Casa,4,1,Paulista - A1,Vitória,22/3/2022,,Rogério Ceni,3
Botafogo SP,Casa,2,1,Paulista - A1,Vitória,19/3/2022,,Rogério Ceni,3
Manaus FC,Casa,2,0,Copa Do Brasil,Vitória,17/3/2022,,Rogério Ceni,3
Mirassol,Fora,3,0,Paulista - A1,Vitória,13/3/2022,,Rogério Ceni,3
Palmeiras,Casa,0,1,Paulista - A1,Derrota,10/3/2022,,Rogério Ceni,0
Corinthians,Casa,1,0,Paulista - A1,Vitória,5/3/2022,,Rogério Ceni,3
Água Santa,Fora,2,1,Paulista - A1,Vitória,28/2/2022,,Rogério Ceni,3
Campinense,Fora,0,0,Copa Do Brasil,Empate,25/2/2022,,Rogério Ceni,1
Santos,Fora,3,0,Paulista - A1,Vitória,20/2/2022,,Rogério Ceni,3
Inter De Limeira,Casa,0,0,Paulista - A1,Empate,18/2/2022,,Rogério Ceni,1
Ponte Preta,Fora,2,1,Paulista - A1,Vitória,13/2/2022,,Rogério Ceni,3
Santo André,Casa,1,0,Paulista - A1,Vitória,9/2/2022,,Rogério Ceni,3
RB Bragantino,Fora,3,4,Paulista - A1,Derrota,4/2/2022,,Rogério Ceni,0
Ituano,Casa,0,0,Paulista - A1,Empate,30/1/2022,,Rogério Ceni,1
Guarani Campinas,Fora,1,2,Paulista - A1,Derrota,28/1/2022,,Rogério Ceni,0
America Mineiro,Fora,0,2,Serie A,Derrota,10/12/2021,,Rogério Ceni,0
Juventude,Casa,3,1,Serie A,Vitória,6/12/2021,,Rogério Ceni,3
Gremio,Fora,0,3,Serie A,Derrota,2/12/2021,,Rogério Ceni,0
Sport Recife,Casa,2,0,Serie A,Vitória,28/11/2021,,Rogério Ceni,3
Atletico Paranaense,Casa,0,0,Serie A,Empate,25/11/2021,,Rogério Ceni,1
Palmeiras,Fora,2,0,Serie A,Vitória,17/11/2021,,Rogério Ceni,3
Flamengo,Casa,0,4,Serie A,Derrota,14/11/2021,,Rogério Ceni,0
Fortaleza EC,Fora,1,1,Serie A,Empate,11/11/2021,,Rogério Ceni,1
Bahia,Fora,0,1,Serie A,Derrota,7/11/2021,,Rogério Ceni,0
Internacional,Casa,1,0,Serie A,Vitória,31/10/2021,,Rogério Ceni,3
RB Bragantino,Fora,0,1,Serie A,Derrota,24/10/2021,,Rogério Ceni,0
Corinthians,Casa,1,0,Serie A,Vitória,18/10/2021,,Rogério Ceni,3
Ceara,Casa,1,1,Serie A,Empate,14/10/2021,,Rogério Ceni,1
Cuiaba,Fora,0,0,Serie A,Empate,11/10/2021,,Hernán Crespo,1
Santos,Casa,1,1,Serie A,Empate,7/10/2021,,Hernán Crespo,1
Chapecoense-sc,Fora,1,1,Serie A,Empate,3/10/2021,,Hernán Crespo,1
Atletico-MG,Casa,0,0,Serie A,Empate,26/9/2021,,Hernán Crespo,1
America Mineiro,Casa,0,0,Serie A,Empate,22/9/2021,,Hernán Crespo,1
Atletico Goianiense,Casa,2,1,Serie A,Vitória,19/9/2021,,Hernán Crespo,3
Fortaleza EC,Fora,1,3,Copa Do Brasil,Derrota,16/9/2021,,Hernán Crespo,0
Fluminense,Fora,1,2,Serie A,Derrota,12/9/2021,,Hernán Crespo,0
Juventude,Fora,1,1,Serie A,Empate,29/8/2021,,Hernán Crespo,1
Fortaleza EC,Casa,2,2,Copa Do Brasil,Empate,26/8/2021,,Hernán Crespo,1
Sport Recife,Fora,1,0,Serie A,Vitória,22/8/2021,,Hernán Crespo,3
Palmeiras,Fora,0,3,CONMEBOL Libertadores,Derrota,18/8/2021,,Hernán Crespo,0
Gremio,Casa,2,1,Serie A,Vitória,15/8/2021,,Hernán Crespo,3
Palmeiras,Casa,1,1,CONMEBOL Libertadores,Empate,11/8/2021,,Hernán Crespo,1
Atletico Paranaense,Fora,2,1,Serie A,Vitória,7/8/2021,,Hernán Crespo,3
Vasco DA Gama,Fora,2,1,Copa Do Brasil,Vitória,5/8/2021,,Hernán Crespo,3
Palmeiras,Casa,0,0,Serie A,Empate,31/7/2021,,Hernán Crespo,1
Vasco DA Gama,Casa,2,0,Copa Do Brasil,Vitória,29/7/2021,,Hernán Crespo,3
Flamengo,Fora,1,5,Serie A,Derrota,25/7/2021,,Hernán Crespo,0
Racing Club,Fora,3,1,CONMEBOL Libertadores,Vitória,21/7/2021,,Hernán Crespo,3
Fortaleza EC,Casa,0,1,Serie A,Derrota,17/7/2021,,Hernán Crespo,0
Racing Club,Casa,1,1,CONMEBOL Libertadores,Empate,14/7/2021,,Hernán Crespo,1
Bahia,Casa,1,0,Serie A,Vitória,10/7/2021,,Hernán Crespo,3
Internacional,Fora,2,0,Serie A,Vitória,8/7/2021,,Hernán Crespo,3
RB Bragantino,Casa,1,2,Serie A,Derrota,4/7/2021,,Hernán Crespo,0
Corinthians,Fora,0,0,Serie A,Empate,1/7/2021,,Hernán Crespo,1
Ceara,Fora,1,1,Serie A,Empate,27/6/2021,,Hernán Crespo,1
Cuiaba,Casa,2,2,Serie A,Empate,23/6/2021,,Hernán Crespo,1
Santos,Fora,0,2,Serie A,Derrota,20/6/2021,,Hernán Crespo,0
Chapecoense-sc,Casa,1,1,Serie A,Empate,16/6/2021,,Hernán Crespo,1
Atletico-MG,Fora,0,1,Serie A,Derrota,13/6/2021,,Hernán Crespo,0
4 de Julho,Casa,9,1,Copa Do Brasil,Vitória,8/6/2021,,Hernán Crespo,3
Atletico Goianiense,Fora,0,2,Serie A,Derrota,5/6/2021,,Hernán Crespo,0
4 de Julho,Fora,2,3,Copa Do Brasil,Derrota,2/6/2021,,Hernán Crespo,0
Fluminense,Casa,0,0,Serie A,Empate,30/5/2021,,Hernán Crespo,1
Sporting Cristal,Casa,3,0,CONMEBOL Libertadores,Vitória,26/5/2021,,Hernán Crespo,3
Palmeiras,Casa,2,0,Paulista - A1,Vitória,23/5/2021,,Hernán Crespo,3
Palmeiras,Fora,0,0,Paulista - A1,Empate,21/5/2021,,Hernán Crespo,1
Racing Club,Casa,0,1,CONMEBOL Libertadores,Derrota,19/5/2021,,Hernán Crespo,0
Mirassol,Casa,4,0,Paulista - A1,Vitória,17/5/2021,,Hernán Crespo,3
Ferroviária,Casa,4,2,Paulista - A1,Vitória,15/5/2021,,Hernán Crespo,3
Rentistas,Fora,1,1,CONMEBOL Libertadores,Empate,12/5/2021,,Hernán Crespo,1
Mirassol,Fora,1,1,Paulista - A1,Empate,9/5/2021,,Hernán Crespo,1
Racing Club,Fora,0,0,CONMEBOL Libertadores,Empate,5/5/2021,,Hernán Crespo,1
Corinthians,Fora,2,2,Paulista - A1,Empate,3/5/2021,,Hernán Crespo,1
Rentistas,Casa,2,0,CONMEBOL Libertadores,Vitória,30/4/2021,,Hernán Crespo,3
Ituano,Fora,3,0,Paulista - A1,Vitória,26/4/2021,,Hernán Crespo,3
Santo André,Casa,2,0,Paulista - A1,Vitória,23/4/2021,,Hernán Crespo,3
Sporting Cristal,Fora,3,0,CONMEBOL Libertadores,Vitória,21/4/2021,,Hernán Crespo,3
Palmeiras,Fora,1,0,Paulista - A1,Vitória,17/4/2021,,Hernán Crespo,3
Guarani Campinas,Casa,3,2,Paulista - A1,Vitória,15/4/2021,,Hernán Crespo,3
Bragantino,Casa,1,0,Paulista - A1,Vitória,12/4/2021,,Hernán Crespo,3
São Caetano,Casa,5,1,Paulista - A1,Vitória,10/4/2021,,Hernán Crespo,3
Novorizontino,Fora,1,2,Paulista - A1,Derrota,13/3/2021,,Hernán Crespo,0
Santos,Casa,4,0,Paulista - A1,Vitória,6/3/2021,,Hernán Crespo,3
Inter De Limeira,Fora,4,0,Paulista - A1,Vitória,3/3/2021,,Hernán Crespo,3
Botafogo SP,Casa,1,1,Paulista - A1,Empate,28/2/2021,,Hernán Crespo,1
Flamengo,Casa,2,1,Serie A,Vitória,26/2/2021,,Hernán Crespo,3
Botafogo,Fora,0,1,Serie A,Derrota,22/2/2021,,Marcos Vizolli,0
Palmeiras,Casa,1,1,Serie A,Empate,20/2/2021,,Marcos Vizolli,1
Gremio,Fora,2,1,Serie A,Vitória,14/2/2021,,Marcos Vizolli,3
Ceara,Casa,1,1,Serie A,Empate,11/2/2021,,Marcos Vizolli,1
Atletico Goianiense,Fora,1,2,Serie A,Derrota,31/1/2021,,Fernando Diniz,0
Coritiba,Casa,1,1,Serie A,Empate,23/1/2021,,Fernando Diniz,1
Internacional,Casa,1,5,Serie A,Derrota,21/1/2021,,Fernando Diniz,0
Atletico Paranaense,Fora,1,1,Serie A,Empate,17/1/2021,,Fernando Diniz,1
Santos,Casa,0,1,Serie A,Derrota,10/1/2021,,Fernando Diniz,0
Bragantino,Fora,2,4,Serie A,Derrota,7/1/2021,,Fernando Diniz,0
Gremio,Casa,0,0,Copa Do Brasil,Empate,31/12/2020,,Fernando Diniz,1
Fluminense,Fora,2,1,Serie A,Vitória,27/12/2020,,Fernando Diniz,3
Gremio,Fora,0,1,Copa Do Brasil,Derrota,24/12/2020,,Fernando Diniz,0
Atletico-MG,Casa,3,0,Serie A,Vitória,17/12/2020,,Fernando Diniz,3
Corinthians,Fora,0,1,Serie A,Derrota,13/12/2020,,Fernando Diniz,0
Botafogo,Casa,4,0,Serie A,Vitória,10/12/2020,,Fernando Diniz,3
Sport Recife,Casa,1,0,Serie A,Vitória,6/12/2020,,Fernando Diniz,3
Goias,Fora,3,0,Serie A,Vitória,3/12/2020,,Fernando Diniz,3
Bahia,Fora,3,1,Serie A,Vitória,28/11/2020,,Fernando Diniz,3
Ceara,Fora,1,1,Serie A,Empate,25/11/2020,,Fernando Diniz,1
Vasco DA Gama,Casa,1,1,Serie A,Empate,22/11/2020,,Fernando Diniz,1
Flamengo,Casa,3,0,Copa Do Brasil,Vitória,19/11/2020,,Fernando Diniz,3
Fortaleza EC,Fora,3,2,Serie A,Vitória,14/11/2020,,Fernando Diniz,3
Flamengo,Fora,2,1,Copa Do Brasil,Vitória,12/11/2020,,Fernando Diniz,3
Goias,Casa,2,1,Serie A,Vitória,7/11/2020,,Fernando Diniz,3
Lanus,Casa,4,3,CONMEBOL Sudamericana,Vitória,4/11/2020,,Fernando Diniz,3
Flamengo,Fora,4,1,Serie A,Vitória,1/11/2020,,Fernando Diniz,3
Lanus,Fora,2,3,CONMEBOL Sudamericana,Derrota,28/10/2020,,Fernando Diniz,0
Fortaleza EC,Casa,2,2,Copa Do Brasil,Empate,25/10/2020,,Fernando Diniz,1
Deportivo Binacional,Casa,5,1,CONMEBOL Libertadores,Vitória,21/10/2020,,Fernando Diniz,3
Gremio,Casa,0,0,Serie A,Empate,18/10/2020,,Fernando Diniz,1
Fortaleza EC,Fora,3,3,Copa Do Brasil,Empate,14/10/2020,,Fernando Diniz,1
Palmeiras,Fora,2,0,Serie A,Vitória,11/10/2020,,Fernando Diniz,3
Atletico Goianiense,Casa,3,0,Serie A,Vitória,7/10/2020,,Fernando Diniz,3
Coritiba,Fora,1,1,Serie A,Empate,4/10/2020,,Fernando Diniz,1
River Plate,Fora,1,2,CONMEBOL Libertadores,Derrota,1/10/2020,,Fernando Diniz,0
Internacional,Fora,1,1,Serie A,Empate,27/9/2020,,Fernando Diniz,1
LDU de Quito,Fora,2,4,CONMEBOL Libertadores,Derrota,23/9/2020,,Fernando Diniz,0
River Plate,Casa,2,2,CONMEBOL Libertadores,Empate,18/9/2020,,Fernando Diniz,1
Santos,Fora,2,2,Serie A,Empate,13/9/2020,,Fernando Diniz,1
Bragantino,Casa,1,1,Serie A,Empate,9/9/2020,,Fernando Diniz,1
Fluminense,Casa,3,1,Serie A,Vitória,6/9/2020,,Fernando Diniz,3
Atletico-MG,Fora,0,3,Serie A,Derrota,3/9/2020,,Fernando Diniz,0
Corinthians,Casa,2,1,Serie A,Vitória,30/8/2020,,Fernando Diniz,3
Atletico Paranaense,Casa,1,0,Serie A,Vitória,27/8/2020,,Fernando Diniz,3
Sport Recife,Fora,1,0,Serie A,Vitória,24/8/2020,,Fernando Diniz,3
Bahia,Casa,1,1,Serie A,Empate,20/8/2020,,Fernando Diniz,1
Vasco DA Gama,Fora,1,2,Serie A,Derrota,16/8/2020,,Fernando Diniz,0
Fortaleza EC,Casa,1,0,Serie A,Vitória,13/8/2020,,Fernando Diniz,3
Mirassol,Casa,2,3,Paulista - A1,Derrota,30/7/2020,,Fernando Diniz,0
Guarani Campinas,Fora,3,1,Paulista - A1,Vitória,26/7/2020,,Fernando Diniz,3
Bragantino,Casa,2,3,Paulista - A1,Derrota,23/7/2020,,Fernando Diniz,0
Santos,Casa,2,1,Paulista - A1,Vitória,14/3/2020,,Fernando Diniz,3
LDU de Quito,Casa,3,0,CONMEBOL Libertadores,Vitória,12/3/2020,,Fernando Diniz,3
Botafogo SP,Fora,0,1,Paulista - A1,Derrota,8/3/2020,,Fernando Diniz,0
Deportivo Binacional,Fora,1,2,CONMEBOL Libertadores,Derrota,6/3/2020,,Fernando Diniz,0
Ponte Preta,Casa,2,1,Paulista - A1,Vitória,1/3/2020,,Fernando Diniz,3
Oeste,Fora,4,0,Paulista - A1,Vitória,22/2/2020,,Fernando Diniz,3
Corinthians,Casa,0,0,Paulista - A1,Empate,15/2/2020,,Fernando Diniz,1
Santo André,Fora,1,2,Paulista - A1,Derrota,9/2/2020,,Fernando Diniz,0
Novorizontino,Casa,1,1,Paulista - A1,Empate,3/2/2020,,Fernando Diniz,1
Ferroviária,Fora,2,1,Paulista - A1,Vitória,30/1/2020,,Fernando Diniz,3
Palmeiras,Fora,0,0,Paulista - A1,Empate,26/1/2020,,Fernando Diniz,1
Água Santa,Casa,2,0,Paulista - A1,Vitória,23/1/2020,,Fernando Diniz,3
CSA,Fora,2,1,Serie A,Vitória,8/12/2019,,Fernando Diniz,3
Internacional,Casa,2,1,Serie A,Vitória,5/12/2019,,Fernando Diniz,3
Gremio,Fora,0,3,Serie A,Derrota,1/12/2019,,Fernando Diniz,0
Vasco DA Gama,Casa,1,0,Serie A,Vitória,28/11/2019,,Fernando Diniz,3
Ceara,Fora,1,1,Serie A,Empate,24/11/2019,,Fernando Diniz,1
Santos,Fora,1,1,Serie A,Empate,16/11/2019,,Fernando Diniz,1
Atletico Paranaense,Casa,0,1,Serie A,Derrota,10/11/2019,,Fernando Diniz,0
Fluminense,Casa,0,2,Serie A,Derrota,7/11/2019,,Fernando Diniz,0
Chapecoense-SC,Fora,3,0,Serie A,Vitória,3/11/2019,,Fernando Diniz,3
Palmeiras,Fora,0,3,Serie A,Derrota,30/10/2019,,Fernando Diniz,0
Atletico-MG,Casa,2,0,Serie A,Vitória,27/10/2019,,Fernando Diniz,3
Avai,Casa,1,0,Serie A,Vitória,20/10/2019,,Fernando Diniz,3
Cruzeiro,Fora,0,1,Serie A,Derrota,17/10/2019,,Fernando Diniz,0
Corinthians,Casa,1,0,Serie A,Vitória,13/10/2019,,Fernando Diniz,3
Bahia,Fora,0,0,Serie A,Empate,10/10/2019,,Fernando Diniz,1
Fortaleza EC,Casa,2,1,Serie A,Vitória,5/10/2019,,Fernando Diniz,3
Flamengo,Fora,0,0,Serie A,Empate,28/9/2019,,Fernando Diniz,1
Goias,Casa,0,1,Serie A,Derrota,26/9/2019,,Cuca,0
Botafogo,Fora,2,1,Serie A,Vitória,21/9/2019,,Cuca,3
CSA,Casa,1,1,Serie A,Empate,15/9/2019,,Cuca,1
Internacional,Fora,0,1,Serie A,Derrota,7/9/2019,,Cuca,0
Gremio,Casa,0,0,Serie A,Empate,31/8/2019,,Cuca,1
Vasco DA Gama,Fora,0,2,Serie A,Derrota,25/8/2019,,Cuca,0
Atletico Paranaense,Fora,1,0,Serie A,Vitória,21/8/2019,,Cuca,3
Ceara,Casa,1,0,Serie A,Vitória,18/8/2019,,Cuca,3
Santos,Casa,3,2,Serie A,Vitória,10/8/2019,,Cuca,3
Fluminense,Fora,2,1,Serie A,Vitória,27/7/2019,,Cuca,3
Chapecoense-SC,Casa,4,0,Serie A,Vitória,22/7/2019,,Cuca,3
Palmeiras,Casa,1,1,Serie A,Empate,13/7/2019,,Cuca,1
Atletico-MG,Fora,1,1,Serie A,Empate,13/6/2019,,Cuca,1
Avai,Fora,0,0,Serie A,Empate,9/6/2019,,Cuca,1
Cruzeiro,Casa,1,1,Serie A,Empate,2/6/2019,,Cuca,1
Bahia,Fora,0,1,Copa Do Brasil,Derrota,30/5/2019,,Cuca,0
Corinthians,Fora,0,1,Serie A,Derrota,26/5/2019,,Cuca,0
Bahia,Casa,0,1,Copa Do Brasil,Derrota,23/5/2019,,Cuca,0
Bahia,Casa,0,0,Serie A,Empate,19/5/2019,,Cuca,1
Fortaleza EC,Fora,1,0,Serie A,Vitória,12/5/2019,,Cuca,3
Flamengo,Casa,1,1,Serie A,Empate,5/5/2019,,Cuca,1
Goias,Fora,2,1,Serie A,Vitória,2/5/2019,,Cuca,3
Botafogo,Casa,2,0,Serie A,Vitória,27/4/2019,,Cuca,3
Corinthians,Fora,1,2,Paulista - A1,Derrota,21/4/2019,,Cuca,0
Corinthians,Casa,0,0,Paulista - A1,Empate,14/4/2019,,Cuca,1
Palmeiras,Fora,0,0,Paulista - A1,Empate,7/4/2019,,Cuca,1
Palmeiras,Casa,0,0,Paulista - A1,Empate,30/3/2019,,Vagner Mancini,1
Ituano,Fora,1,0,Paulista - A1,Vitória,27/3/2019,,Vagner Mancini,3
Ituano,Casa,2,1,Paulista - A1,Vitória,24/3/2019,,Vagner Mancini,3
São Caetano,Fora,1,1,Paulista - A1,Empate,20/3/2019,,Vagner Mancini,1
Palmeiras,Casa,0,1,Paulista - A1,Derrota,16/3/2019,,Vagner Mancini,0
Ferroviária,Casa,1,1,Paulista - A1,Empate,9/3/2019,,Vagner Mancini,1
Bragantino,Fora,2,0,Paulista - A1,Vitória,3/3/2019,,Vagner Mancini,3
Red Bull Brasil,Casa,0,0,Paulista - A1,Empate,24/2/2019,,Vagner Mancini,1
Corinthians,Fora,1,2,Paulista - A1,Derrota,17/2/2019,,Vagner Mancini,0
Talleres Cordoba,Casa,0,0,CONMEBOL Libertadores,Empate,13/2/2019,,André Jardine,1
Ponte Preta,Fora,0,1,Paulista - A1,Derrota,9/2/2019,,André Jardine,0
Talleres Cordoba,Fora,0,2,CONMEBOL Libertadores,Derrota,6/2/2019,,André Jardine,0
São Bento,Casa,1,0,Paulista - A1,Vitória,3/2/2019,,André Jardine,3
Guarani,Casa,0,1,Paulista - A1,Derrota,31/1/2019,,André Jardine,0
Santos,Fora,0,2,Paulista - A1,Derrota,27/1/2019,,André Jardine,0
Grêmio Novorizontino,Fora,3,0,Paulista - A1,Vitória,24/1/2019,,André Jardine,3
Mirassol,Casa,4,1,Paulista - A1,Vitória,19/1/2019,,André Jardine,3
Chapecoense-sc,Fora,0,1,Serie A,Derrota,2/12/2018,,André Jardine,0
Sport Recife,Casa,0,0,Serie A,Empate,26/11/2018,,André Jardine,1
Vasco DA Gama,Fora,0,2,Serie A,Derrota,22/11/2018,,André Jardine,0
Cruzeiro,Casa,1,0,Serie A,Vitória,18/11/2018,,André Jardine,3
Gremio,Casa,1,1,Serie A,Empate,15/11/2018,,André Jardine,1
Corinthians,Fora,1,1,Serie A,Empate,10/11/2018,,Diego Aguirre,1
Flamengo,Casa,2,2,Serie A,Empate,4/11/2018,,Diego Aguirre,1
Vitória,Fora,1,0,Serie A,Vitória,26/10/2018,,Diego Aguirre,3
Atletico Paranaense,Casa,0,0,Serie A,Empate,20/10/2018,,Diego Aguirre,1
Internacional,Fora,1,3,Serie A,Derrota,14/10/2018,,Diego Aguirre,0
Palmeiras,Casa,0,2,Serie A,Derrota,6/10/2018,,Diego Aguirre,0
Botafogo,Fora,2,2,Serie A,Empate,30/9/2018,,Diego Aguirre,1
America Mineiro,Casa,1,1,Serie A,Empate,22/9/2018,,Diego Aguirre,1
Santos,Fora,0,0,Serie A,Empate,16/9/2018,,Diego Aguirre,1
Bahia,Casa,1,0,Serie A,Vitória,8/9/2018,,Diego Aguirre,3
Atletico-MG,Fora,0,1,Serie A,Derrota,6/9/2018,,Diego Aguirre,0
Fluminense,Casa,1,1,Serie A,Empate,2/9/2018,,Diego Aguirre,1
Ceara,Casa,1,0,Serie A,Vitória,26/8/2018,,Diego Aguirre,3
Parana,Fora,1,1,Serie A,Empate,22/8/2018,,Diego Aguirre,1
Chapecoense-sc,Casa,2,0,Serie A,Vitória,19/8/2018,,Diego Aguirre,3
Colón,Fora,1,0,CONMEBOL Sudamericana,Vitória,16/8/2018,,Diego Aguirre,3
Sport Recife,Fora,3,1,Serie A,Vitória,12/8/2018,,Diego Aguirre,3
Vasco DA Gama,Casa,2,1,Serie A,Vitória,5/8/2018,,Diego Aguirre,3
Colón,Casa,0,1,CONMEBOL Sudamericana,Derrota,2/8/2018,,Diego Aguirre,0
Cruzeiro,Fora,2,0,Serie A,Vitória,29/7/2018,,Diego Aguirre,3
Gremio,Fora,1,2,Serie A,Derrota,26/7/2018,,Diego Aguirre,0
Corinthians,Casa,3,1,Serie A,Vitória,22/7/2018,,Diego Aguirre,3
Flamengo,Fora,1,0,Serie A,Vitória,19/7/2018,,Diego Aguirre,3
Vitória,Casa,3,0,Serie A,Vitória,13/6/2018,,Diego Aguirre,3
Atletico Paranaense,Fora,1,0,Serie A,Vitória,9/6/2018,,Diego Aguirre,3
Internacional,Casa,0,0,Serie A,Empate,6/6/2018,,Diego Aguirre,1
Palmeiras,Fora,1,3,Serie A,Derrota,3/6/2018,,Diego Aguirre,0
Botafogo,Casa,3,2,Serie A,Vitória,31/5/2018,,Diego Aguirre,3
America Mineiro,Fora,3,1,Serie A,Vitória,27/5/2018,,Diego Aguirre,3
Santos,Casa,1,0,Serie A,Vitória,20/5/2018,,Diego Aguirre,3
Bahia,Fora,2,2,Serie A,Empate,13/5/2018,,Diego Aguirre,1
Rosario Central,Casa,1,0,CONMEBOL Sudamericana,Vitória,9/5/2018,,Diego Aguirre,3
Atletico-MG,Casa,2,2,Serie A,Empate,5/5/2018,,Diego Aguirre,1
Fluminense,Fora,1,1,Serie A,Empate,29/4/2018,,Diego Aguirre,1
Ceara,Fora,0,0,Serie A,Empate,22/4/2018,,Diego Aguirre,1
