Adversário,Local,Gols Pró,Gols Contra,Torneio,Resultado,Data do Jogo,Avaliação,Técnico,Pontos
Internacional,Fora,1,1,Serie A,Empate,21/8/2016,,Ricardo Gomes,1
Botafogo,Casa,0,1,Serie A,Derrota,14/8/2016,,André Jardine,0
Santa Cruz,Fora,2,1,Serie A,Vitória,7/8/2016,,André Jardine,3
Atlético Mineiro,Casa,1,2,Serie A,Derrota,4/8/2016,,Edgardo Bauza,0
Chapecoense,Casa,2,2,Serie A,Empate,31/7/2016,,Edgardo Bauza,1
Grêmio,Fora,0,1,Serie A,Derrota,24/7/2016,,Edgardo Bauza,0
Corinthians,Fora,1,1,Serie A,Empate,17/7/2016,,Edgardo Bauza,1
Atlético Nacional,Fora,1,2,CONMEBOL Libertadores,Derrota,13/7/2016,,Edgardo Bauza,0
América Mineiro,Casa,3,0,Serie A,Vitória,10/7/2016,,Edgardo Bauza,3
Atlético Nacional,Casa,0,2,CONMEBOL Libertadores,Derrota,6/7/2016,,Edgardo Bauza,0
Ponte Preta,Fora,0,1,Serie A,Derrota,3/7/2016,,Edgardo Bauza,0
Fluminense,Casa,2,1,Serie A,Vitória,29/6/2016,,Edgardo Bauza,3
Santos,Fora,0,3,Serie A,Derrota,26/6/2016,,Edgardo Bauza,0
Sport,Casa,0,0,Serie A,Empate,23/6/2016,,Edgardo Bauza,1
Flamengo,Fora,2,2,Serie A,Empate,19/6/2016,,Edgardo Bauza,1
Vitória,Casa,2,0,Serie A,Vitória,15/6/2016,,Edgardo Bauza,3
Atlético Paranaense,Casa,1,2,Serie A,Derrota,11/6/2016,,Edgardo Bauza,0
Cruzeiro,Fora,1,0,Serie A,Vitória,5/6/2016,,Edgardo Bauza,3
Figueirense,Fora,0,1,Serie A,Derrota,1/6/2016,,Edgardo Bauza,0
Palmeiras,Casa,1,0,Serie A,Vitória,29/5/2016,,Edgardo Bauza,3
Coritiba,Fora,1,1,Serie A,Empate,25/5/2016,,Edgardo Bauza,1
Internacional,Casa,1,2,Serie A,Derrota,22/5/2016,,Edgardo Bauza,0
Atlético Mineiro,Fora,1,2,CONMEBOL Libertadores,Derrota,18/5/2016,,Edgardo Bauza,0
Botafogo,Fora,1,0,Serie A,Vitória,15/5/2016,,Edgardo Bauza,3
Atlético Mineiro,Casa,1,0,CONMEBOL Libertadores,Vitória,11/5/2016,,Edgardo Bauza,3
Toluca,Fora,1,3,CONMEBOL Libertadores,Derrota,4/5/2016,,Edgardo Bauza,0
Toluca,Casa,4,0,CONMEBOL Libertadores,Vitória,28/4/2016,,Edgardo Bauza,3
The Strongest,Fora,1,1,CONMEBOL Libertadores,Empate,21/4/2016,,Edgardo Bauza,1
Osasco Audax,Fora,1,4,Paulista - A1,Derrota,17/4/2016,,Edgardo Bauza,0
River Plate,Casa,2,1,CONMEBOL Libertadores,Vitória,13/4/2016,,Edgardo Bauza,3
São Bento,Fora,0,1,Paulista - A1,Derrota,10/4/2016,,Edgardo Bauza,0
Trujillanos FC,Casa,6,0,CONMEBOL Libertadores,Vitória,5/4/2016,,Edgardo Bauza,3
Oeste,Casa,2,1,Paulista - A1,Vitória,2/4/2016,,Edgardo Bauza,3
Linense,Fora,1,1,Paulista - A1,Empate,30/3/2016,,Edgardo Bauza,1
Santos,Fora,1,1,Paulista - A1,Empate,27/3/2016,,Edgardo Bauza,1
Botafogo-SP,Casa,1,0,Paulista - A1,Vitória,23/3/2016,,Edgardo Bauza,3
Ituano,Fora,1,1,Paulista - A1,Empate,20/3/2016,,Edgardo Bauza,1
Trujillanos FC,Fora,1,1,CONMEBOL Libertadores,Empate,16/3/2016,,Edgardo Bauza,1
Palmeiras,Casa,0,2,Paulista - A1,Derrota,13/3/2016,,Edgardo Bauza,0
River Plate,Fora,1,1,CONMEBOL Libertadores,Empate,10/3/2016,,Edgardo Bauza,1
São Bernardo,Casa,1,3,Paulista - A1,Derrota,5/3/2016,,Edgardo Bauza,0
